lat,long,year,month,surftemp,temp,pressure,ozone,cloudlow,cloudmid,cloudhigh
3.7565217391304344,-61.208695652173915,2000,12,296,301.4,965,240,19.5,24.5,4
13.73913043478261,-86.25217391304348,1995,2,295.5,291.7,935,240,28,6,0.5
-18.70434782608696,-68.72173913043478,1997,3,284.7,278.4,630,240,NA,31.5,27
-18.70434782608696,-66.21739130434783,1997,3,284.7,278.4,630,240,NA,31.5,27
11.243478260869566,-98.77391304347826,1995,2,301.4,300.1,1000,242,16,4,3
-16.208695652173915,-68.72173913043478,1999,4,282.7,277.8,655,242,NA,29.5,24
-16.208695652173915,-68.72173913043478,2000,4,284.2,277.8,655,242,NA,27.5,15
-6.2260869565217405,-93.76521739130435,1998,3,301.4,301.4,1000,244,28.5,22,24.5
-18.70434782608696,-68.72173913043478,1995,5,281.6,269.7,620,244,NA,15,7
-18.70434782608696,-66.21739130434783,1995,5,281.6,269.7,620,244,NA,15,7
-18.70434782608696,-68.72173913043478,1997,5,282.2,280.5,640,244,NA,21,4.5
-18.70434782608696,-66.21739130434783,1997,5,282.2,280.5,640,244,NA,21,4.5
-18.70434782608696,-68.72173913043478,1998,3,291.7,284.7,640,244,NA,25,13.5
-18.70434782608696,-66.21739130434783,1998,3,291.7,284.7,640,244,NA,25,13.5
-16.208695652173915,-68.72173913043478,1998,6,282.7,277.3,650,244,NA,31.5,9
-16.208695652173915,-68.72173913043478,1999,1,284.2,277.8,655,244,NA,35,31.5
-16.208695652173915,-68.72173913043478,1999,3,277.3,277.8,655,244,NA,23,48.5
-16.208695652173915,-68.72173913043478,2000,1,280.5,277.8,655,244,NA,25.5,48.5
-1.234782608695653,-66.21739130434783,1999,3,295.5,303.2,1000,246,7.5,31,33.5
-13.713043478260872,-58.70434782608696,1995,5,294.1,295,960,246,11.5,20.5,20
-18.70434782608696,-68.72173913043478,1996,4,287.3,277.8,625,246,NA,26,9
-18.70434782608696,-66.21739130434783,1996,4,287.3,277.8,625,246,NA,26,9
-18.70434782608696,-68.72173913043478,1997,4,284.7,277.8,625,246,NA,25.5,9
-18.70434782608696,-66.21739130434783,1997,4,284.7,277.8,625,246,NA,25.5,9
-18.70434782608696,-68.72173913043478,1998,4,287.8,287.8,645,246,NA,20,5.5
-18.70434782608696,-66.21739130434783,1998,4,287.8,287.8,645,246,NA,20,5.5
1.2608695652173907,-73.7304347826087,1997,1,296,301.9,985,248,14,28.5,13.5
